Question,Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Category,Assignee
Which of the following languages is NOT driven from Latin?,French,English,Portugese,Italian,Entertainment,Vicky
Arnold Schwarzenegger was married to a member of what famous US political family?,The Bushes,The Kennedys,The Rockefellers,The Roosevelts,Entertainment,Vicky
What is a baby kangaroo called?,Calf,Joey,Pup,Kit,Entertainment,Vicky
"Which city does ""Big Easy"" refer to?",L.A.,New Orleans,Seattle,Miami,Entertainment,Vicky
Which part of your body contains a bone called the ‘Funny Bone’?,Foot,Elbow,Knee,Hip,Entertainment,Vicky
Which animal's fingerprints are almost identical to human fingerprints?,Crow,Koala,Dolphin,Lizard,Entertainment,Vicky
What animal is known for its ability to regenerate lost limbs?,Snake,Starfish,Crab,Frog,Entertainment,Vicky
What alcoholic drink is made with juniper berries?,Vodka,Gin,Rum,Whiskey,Entertainment,Vicky
How can you tell the age of a horse?,The length of its tail, The lines on its teeth,The clarity in its eyes,The quality of its hooves,Entertainment,Vicky
To which sea does the River Thames flow?,Celtic Sea,North Sea,Baltic Sea,Firth of Clyde,Entertainment,Vicky
